41f73ef5	专利,程序,美国,美国专利,研究	NORM,NORM,NEG,NEG,NORM
2dd44530	金融,金融发展,贫富差距,问题,西泽研究院,社会学	NORM,NORM,POS,POS,POS,NORM
9e33303d	基林,驱逐舰,墨西哥	POS,POS,POS
dbb1eac3	python,编程语言	POS,NORM
a8df14bc	资管计划,投资者	NORM,NORM
8a558b67	安装	NORM
57573e43	中国,美国,日本	POS,NEG,NEG
842ab252	汇算清缴,会计	NORM,NORM
b2dc8043	facebook	NORM
1cbc9a86	滴滴,约车,网约车,公司,lyft,ipo,美国,股书,招股书	NORM,POS,NEG,NORM,POS,NORM,NEG,POS,POS
23fa86e9	规模,国民经济	POS,POS
6efe87f7	武汉,买房,中介,房产投资	POS,NORM,NORM,NORM
8f86fdb3	纽约,爱彼,uber,亚马逊,巨头,科技巨头	POS,POS,POS,POS,POS,POS
9c4005ce	kxd6a,手机	POS,POS
cf9018d5	市势,市场	NORM,NORM
265f1942	5g,巴塞罗,公元	POS,POS,NORM
26f68025	福布斯,中国,富豪榜	POS,POS,POS
5a750e15	企业,融资,资金	NORM,NORM,NORM
477f79b1	故宫,时光机,光机	POS,POS,POS
a50650cf	美国,华为,美国政府	NEG,POS,NEG
51543860	收银台,支付系统,设计,白皮书	NORM,NORM,NORM,NORM
7dd5ff91		
6c37f742	遥控器,应用,ir,无线遥控器,红外	NORM,NORM,NORM,NORM,NORM
d2e7c503	玻璃钢脱硫除尘器,直销	NORM,NORM
62213a4e	自媒体,新人	NORM,NORM
11820728	通道,全网,思维	NORM,NORM,NORM
da1f7a3b	信托,收益,规模,集合信托	POS,POS,POS,POS
2dd8d2d0	图像处理软件,acorn for mac,mac	NORM,POS,NORM
c14e591b	贝店,电商	POS,POS
1ebaab20	保险,市场,保险公司,规模	NORM,NORM,NORM,NORM
f1c33db5	厦门市,智宇,模式,新模式	POS,POS,POS,POS
61d73358	亚马逊,广告	NORM,NORM
a8c2f769	自动驾驶,uber,美国,全球,结果	NEG,NEG,NEG,POS,NORM
2b757ee9	行情,甲醇,价格	POS,POS,POS
bbe9c015	美元,数据,指数,黄金,adp,外汇	NEG,NORM,NORM,NORM,NORM,NORM
61898fe9	侧卫,米格,战斗民族,民族	POS,POS,POS,POS
39d3a763	城市,房价,一二线城市,二手房价,微调	NORM,NORM,NORM,NORM,POS
d5eccffb	经销商,窜货,厂家	NEG,NORM,NORM
08d3e2bb	时代,电商,融云,供应链	POS,POS,POS,POS
ef68ef66	锵锵锵,女王节	POS,NORM
4f5f162b	python,strings	POS,POS
eda4c7ba	外汇,骗局,炒外汇,期权,恒指,沪深300,a50	NORM,NORM,NORM,NORM,NORM,NORM,NORM
016f2c01	蔚来,蔚来汽车,周鸿祎,生意人,股价	NEG,NEG,POS,NORM,NEG
6077007d	石油,rystad	NORM,POS
c69d9fcc	项目,商业,小马	NORM,POS,POS
e6a9d579	财经,投资,题材股	NORM,NORM,NORM
75eaaced	房多多,多多,趋势	POS,POS,POS
0ae398dd	小米,有品,智能手环,黑马	POS,NORM,POS,POS
43db8034	龙光,土拍,沙井	POS,POS,POS
33f914e0	移动固态硬盘,三星,西数,移动硬盘	NORM,POS,NORM,NORM
3f44c9b5	华为,视频,女神节,妻子的浪漫旅行2	POS,POS,POS,POS
c7647132	张大妈,6s,大妈	POS,POS,POS
03b44920	绝地求生,赛睿,吃鸡	POS,POS,POS
5d5920ef	美元,西城集团,美联储	NEG,POS,NEG
436b6cb7	雪莱特,债权人,董事长,债务,财联社	NEG,NEG,NEG,NEG,NORM
5a2db45b	泰国,小伙	POS,POS
4cd4158c	王姓,实体店	POS,NORM
303416fc	rfid,seafolly,技术,rfid技术	POS,POS,POS,POS
032fb8da	消息,面试,mq,中间件	NORM,NORM,NORM,NORM
195a1e72	管理	NORM
4ba80bdb	漫威,惊奇队长,华为,视频,华为视频,钢铁侠	POS,POS,POS,POS,POS,POS
260ec694	专利交易,特殊性,成都亚联科,知产,成都亚联科知产	NORM,NORM,NORM,NORM,NORM
5dd3a4b0	湖北省	POS
b6514ace	管理,云环境,安全性	NORM,NORM,NORM
8ef82bb3	加密货币,比特币,华尔街	NORM,NEG,NORM
a5bf36d6	催收,男性,女性	NORM,NORM,NORM
eaa42b85	税前扣除,凭证,税前扣除凭证,难题	NORM,NORM,NORM,NORM
76d05deb	丈夫,女人	NORM,NORM
1a64dc24	机器	NORM
10f3d644	网络,mesh,物联网,技术	POS,POS,NORM,NORM
